,base,parts_of_speech,n_occurrences
5321,Skyliner,?,1
5322,piętrowy,przym,4
5323,DD,?,4
5324,zdolność,rzecz,85
5325,gotowe,rzecz,13
5326,rosły,przym,6
5327,247,rzecz,6
5328,239,rzecz,2
5329,438,rzecz,2
5330,583,rzecz,2
5331,624,rzecz,2
5332,890,rzecz,8
5333,956,rzecz,2
5334,1353,rzecz,2
5335,1532,rzecz,2
5336,1267,rzecz,1
5337,maleć,czas,14
5338,456,rzecz,2
5339,381,rzecz,5
5340,281,rzecz,3
5341,117,rzecz,11
5342,kompletny,przym,13
5343,858,rzecz,3
5344,rośnie,przys,32
5345,119,rzecz,12
5346,132,rzecz,13
5347,368,rzecz,4
5348,550,rzecz,14
5349,548,rzecz,3
5350,777,rzecz,2
5351,907,rzecz,6
5352,1347,rzecz,1
5353,1504,rzecz,2
5354,1169,rzecz,1
5355,zatrudniać,czas,15
5356,pracownik,rzecz,86
5357,aktualny,przym,38
5358,GL,rzecz,7
5359,LL,?,1
5360,NG,?,3
5361,312,rzecz,9
5362,313,rzecz,3
5363,Janne,?,27
5364,Petteri,?,2
5365,Ahonen,?,89
5366,Lahti,?,40
5367,fiński,rzecz,19
5368,skoczek,rzecz,47
5369,reprezentant,rzecz,66
5370,klub,rzecz,251
5371,Lahden,?,2
5372,Hiihtoseura,?,2
5373,dwukrotny,przym,44
5374,drużynowy,rzecz,25
5375,medalista,rzecz,89
5376,indywidualny,przym,199
5377,trzykrotny,przym,23
5378,mistrz,rzecz,489
5379,czterokrotny,przym,10
5380,pięciokrotny,przym,11
5381,triumfator,rzecz,6
5382,skoczeń,rzecz,215
5383,letni,przym,132
5384,dwudziestodwukrotny,przym,1
5385,Finlandia,rzecz,57
5386,dziewięć,rzecz,572
5387,drużynowo,przys,22
5388,junior,rzecz,192
5389,krotny,przym,14
5390,zwycięzca,rzecz,69
5391,108,rzecz,28
5392,podium,rzecz,103
5393,rekordzista,rzecz,9
5394,zwyciężać,czas,31
5395,ośmiokrotnie,przys,7
5396,stawać,czas,51
5397,klasyfikacja,rzecz,257
5398,dziesięciokrotnie,przys,4
5399,ówcześnie,przys,10
5400,skok,rzecz,173
5401,240,rzecz,17
5402,zdołać,czas,58
5403,Letalnicy,?,2
5404,Planicy,?,22
5405,Mühlenkopfschanze,?,2
5406,Willingen,?,14
5407,skoczyć,czas,12
5408,152,rzecz,23
5409,oddany,przym,16
5410,Holmenkollen,?,5
5411,skakać,czas,18
5412,narta,rzecz,7
5413,Atomic,?,2
5414,Jalas,?,1
5415,wina,rzecz,33
5416,Maarit,?,1
5417,Keijo,?,1
5418,wędkarski,przym,2
5419,krawiectwo,rzecz,1
5420,siódmy,rzecz,27
5421,Mico,?,1
5422,ożenić,czas,28
5423,Tiią,?,1
5424,Jakobsson,?,1
5425,zaręczyć,czas,5
5426,wieczny,przym,54
5427,Panna,rzecz,27
5428,panna,rzecz,38
5429,weselny,przym,7
5430,przybyć,czas,48
5431,kompleks,rzecz,80
5432,rekreacyjny,przym,7
5433,Messilä,?,1
5434,Mila,rzecz,3
5435,mila,rzecz,18
5436,interesować,czas,24
5437,idol,rzecz,3
5438,Matti,?,11
5439,Nykänen,?,3
5440,Jari,?,1
5441,Puikkonen,?,1
5442,Ahonena,?,22
5443,kamienny,przym,42
5444,okazować,czas,47
5445,okazywać,czas,50
5446,emocja,rzecz,19
5447,maska,rzecz,31
5448,karier,rzecz,189
5449,słynąć,czas,11
5450,zamiłowanie,rzecz,10
5451,szybki,przym,104
5452,ukarać,czas,9
5453,dozwolić,czas,10
5454,115,rzecz,24
5455,h,?,149
5456,incydent,rzecz,27
5457,wygrać,czas,77
5458,wyścig,rzecz,93
5459,samochodowy,przym,58
5460,drag,rzecz,4
5461,Racing,?,26
5462,Skandynawia,rzecz,14
5463,307,rzecz,4
5464,uzdolniony,przym,5
5465,plastycznie,przys,3
5466,marka,rzecz,16
5467,nordycki,przym,16
5468,malarstwo,rzecz,54
5469,oprócz,?,156
5470,malowanie,rzecz,18
5471,kask,rzecz,3
5472,egzamin,rzecz,34
5473,maturalny,przym,3
5474,etap,rzecz,85
5475,ojczyste,rzecz,1
5476,obca,rzecz,43
5477,Pasi,?,3
5478,znaczący,przym,60
5479,występ,rzecz,54
5480,kontynentalny,przym,18
5481,Braunlage,?,1
5482,dziennikarz,rzecz,47
5483,Pekka,?,6
5484,Holopainen,?,1
5485,przywieźć,czas,16
5486,złoto,przys,371
5487,przełom,rzecz,79
5488,zadebiutować,czas,150
5489,Ruhpolding,?,2
5490,56,rzecz,69
5491,zdobywać,czas,94
5492,54,rzecz,90
5493,47,rzecz,84
5494,55,rzecz,144
5495,39,rzecz,108
5496,PŚ,rzecz,35
5497,Predazzo,?,18
5498,Fin,rzecz,44
5499,wywalczyć,czas,76
5500,Ahonenem,?,3
5501,wystartować,czas,62
5502,Falun,?,21
5503,131,rzecz,15
5504,Harrachovie,?,8
5505,kolega,rzecz,26
5506,wyprzedzić,czas,27
5507,Andreasa,?,1
5508,Widhölzla,?,2
5509,Alexandra,?,9
5510,Herra,?,1
5511,jedenasty,rzecz,7
5512,170,rzecz,45
5513,drużynowa,rzecz,104
5514,sezon,rzecz,522
5515,inaugurować,czas,4
5516,Courchevel,?,7
5517,szwajcarski,przym,27
5518,Engelbergu,?,16
5519,niespodziewanie,przys,4
5520,stać,czas,269
5521,najmłodsi,rzecz,16
5522,42,rzecz,122
5523,Oberstdorfie,?,30
5524,Garmisch,?,14
5525,Partenkirchen,?,14
5526,innsbrucki,przym,20
5527,Bischofshofen,?,16
5528,uplasować,czas,40
5529,TCS,?,11
5530,sklasyfikować,czas,17
5531,Murau,?,2
5532,Libercu,?,8
5533,dwukrotnie,przys,131
5534,piąta,rzecz,73
5535,Breitenwang,?,4
5536,mistrzowski,przym,21
5537,wyprzedzać,czas,9
5538,pokonywać,czas,44
5539,Krompolca,?,1
5540,37,rzecz,130
5541,Lillehammer,?,27
5542,sportowy,przym,89
5543,normalna,rzecz,63
5544,przegrać,czas,59
5545,Japończyk,rzecz,35
5546,Austriak,rzecz,14
5547,gospodarz,rzecz,17
5548,Norweg,rzecz,20
5549,Salpausselkä,?,1
5550,dwudziesty,rzecz,12
5551,Örnsköldsvik,?,1
5552,słoweński,przym,10
5553,mamuci,przym,16
5554,dwunasty,rzecz,6
5555,stracić,czas,74
5556,122,rzecz,27
5557,Jaroslava,?,1
5558,Sakali,?,1
5559,zawodnik,rzecz,172
5560,rywalizować,czas,22
5561,Thunder,?,12
5562,ósma,rzecz,29
5563,388,rzecz,1
5564,Hinterzarten,?,10
5565,Stams,?,6
5566,599,rzecz,6
5567,Takanobu,?,4
5568,Okabe,?,4
5569,147,rzecz,7
5570,inauguracja,rzecz,9
5571,95,rzecz,76
5572,czwarty,rzecz,49
5573,Große,?,6
5574,Olympiaschanze,?,4
5575,austriacki,przym,61
5576,43,rzecz,111
5577,przegrywać,czas,30
5578,Goldbergerem,?,4
5579,Funakim,?,3
5580,czwarta,rzecz,94
5581,Sapporo,rzecz,28
5582,znów,?,17
5583,niepowodzenie,rzecz,22
5584,osiemnasty,rzecz,4
5585,Puijo,?,2
5586,Kuopio,?,18
5587,Oslo,rzecz,43
5588,Vikersund,?,6
5589,Heiniego,?,7
5590,Klopfera,?,8
5591,ósmy,rzecz,19
5592,Andreasem,?,11
5593,Ceconem,?,1
5594,dziewiąta,rzecz,21
5595,Tommy,?,4
5596,Ingebrigtsen,?,1
5597,pokonać,czas,59
5598,Niemiec,rzecz,84
5599,niemiec,rzecz,84
5600,igelit,rzecz,1
5601,Trondheim,?,20
5602,plasować,czas,16
5603,888,rzecz,6
5604,dobrze,przys,163
5605,wygrana,rzecz,48
5606,Villach,?,6
5607,piąty,rzecz,42
5608,Chamonix,?,10
5609,tuż,przys,48
5610,trzydziestka,rzecz,5
5611,Oberhofie,?,11
5612,spisać,czas,15
5613,źle,przys,15
5614,38,rzecz,112
5615,szósty,rzecz,21
5616,piętnasty,rzecz,5
5617,szesnasty,rzecz,3
5618,pucharowy,przym,37
5619,gościć,czas,7
5620,Krokiew,rzecz,3
5621,krokiew,rzecz,3
5622,kulm,rzecz,6
5623,Tauplitz,?,9
5624,160,rzecz,33
5625,iron,rzecz,25
5626,Mountain,?,20
5627,dziewiąty,rzecz,17
5628,Čerťák,?,1
5629,Małysz,rzecz,15
5630,dorobek,rzecz,46
5631,1054,rzecz,2
5632,dziesiąty,rzecz,8
5633,pozwolić,czas,54
5634,LGP,?,15
5635,Kuusamo,?,11
5636,czternasty,rzecz,10
5637,Titlis,?,2
5638,Schanze,?,3
5639,Hakubie,?,8
5640,Granåsen,?,2
5641,senior,rzecz,58
5642,Haradę,?,1
5643,Goldbergera,?,1
5644,bezkonkurencyjny,przym,3
5645,skandynawski,przym,22
5646,wspaniały,przym,21
5647,przynieść,czas,56
5648,dwudziesta,rzecz,10
5649,zgromadzić,czas,25
5650,734,rzecz,3
5651,dziesiątka,rzecz,17
5652,zajęty,przym,49
5653,siódma,rzecz,26
5654,Ramsau,?,6
5655,Zakopane,rzecz,30
5656,Hannawald,rzecz,11
5657,Thomą,?,1
5658,Stensrudem,?,1
5659,Ottesenem,?,1
5660,Peterką,?,1
5661,Brendenem,?,2
5662,98,rzecz,34
5663,Nikkola,?,1
5664,Laitinen,?,2
5665,Soininen,?,1
5666,90,rzecz,214
5667,rodak,rzecz,13
5668,Jani,?,8
5669,Soininena,?,1
5670,zupełnie,przys,31
5671,106,rzecz,29
5672,dwunasta,rzecz,4
5673,836,rzecz,3
5674,417,rzecz,4
5675,kryształowy,przym,23
5676,kul,rzecz,22
5677,Primož,?,1
5678,Peterka,?,1
5679,290,rzecz,9
5680,przeciwieństwo,rzecz,53
5681,znakomicie,przys,6
5682,triumf,rzecz,10
5683,szóstka,rzecz,8
5684,wygrywać,czas,27
5685,spora,rzecz,16
5686,Harrachova,?,1
5687,żółty,przym,109
5688,plastron,rzecz,1
5689,Schattenbergschanze,?,15
5690,łączny,przym,65
5691,startująca,rzecz,4
5692,przewidywanie,rzecz,10
5693,Schmitt,rzecz,12
5694,słabnąć,czas,8
5695,Ausserleitnera,?,3
5696,Miyahirą,?,2
5697,Haradą,?,1
5698,sum,rzecz,72
5699,koszulka,rzecz,14
5700,prowadzenie,rzecz,121
5701,1695,rzecz,6
5702,Okurayamie,?,1
5703,291,rzecz,2
5704,Svenem,?,4
5705,wypadły,przym,4
5706,66,rzecz,36
5707,znowu,?,18
5708,kreować,czas,11
5709,faworyt,rzecz,6
5710,Widhölzlem,?,3
5711,Vikersundbakken,?,1
5712,52,rzecz,72
5713,dobre,rzecz,89
5714,1437,rzecz,1
5715,zdominować,czas,8
5716,705,rzecz,4
5717,List_do_Galatów,?,9
5718,pa,?,11
5719,Polak,rzecz,96
5720,104,rzecz,30
5721,przedolimpijski,przym,3
5722,dziesiątek,rzecz,21
5723,116,rzecz,34
5724,srebro,rzecz,129
5725,konca,?,1
5726,686,rzecz,3
5727,Adlerschanze,?,1
5728,02,rzecz,48
5729,Titisee,?,3
5730,Neustadt,?,11
5731,dziewiętnasty,rzecz,4
5732,zakwalifikować,czas,44
5733,salto,rzecz,14
5734,Lake,?,24
5735,Simon,rzecz,31
5736,Ammanna,?,3
5737,zabraknąć,czas,12
5738,możliwy,przym,147
5739,Svena,?,2
5740,126,rzecz,9
5741,zaplanować,czas,20
5742,odwołać,czas,16
5743,piętnasta,rzecz,6
5744,rozpoczęcie,rzecz,62
5745,trener,rzecz,58
5746,Tommim,?,1
5747,Nikunenem,?,1
5748,zaowocować,czas,20
5749,Clintem,?,1
5750,Jones,rzecz,14
5751,dziesiąta,rzecz,13
5752,lokat,rzecz,6
5753,roczny,przym,46
5754,129,rzecz,6
5755,Bergisel,?,4
5756,przeszkodzić,czas,7
5757,skończyć,czas,36
5758,rzecz,rzecz,116
5759,udany,przym,43
5760,odjazd,rzecz,4
5761,zrekompensować,czas,2
5762,siedemnasty,rzecz,5
5763,1016,rzecz,2
5764,rezultat,rzecz,62
5765,niekorzystny,przym,15
5766,spaść,czas,24
5767,zwyciężyć,czas,129
5768,obydwa,rzecz,413
5769,dobyć,czas,1
5770,Roarem,?,3
5771,Ljøkelsøyem,?,3
5772,201,rzecz,7
5773,czternasta,rzecz,6
5774,198,rzecz,2
5775,pewnie,przys,9
5776,kroczyć,czas,2
5777,kula,rzecz,13
5778,rozgrywać,czas,116
5779,czołowy,przym,54
5780,fantastyczny,przym,29
5781,Roar,?,6
5782,Ljøkelsøy,?,4
5783,pomóc,czas,58
5784,1316,rzecz,4
5785,obowiązywać,czas,30
5786,taka,rzecz,75
5787,punktacja,rzecz,17
5788,05,rzecz,38
5789,noworoczny,przym,3
5790,124,rzecz,13
5791,128,rzecz,26
5792,Thomas,rzecz,56
5793,Morgensterna,?,3
5794,powtórzyć,czas,13
5795,wyczyn,rzecz,6
5796,Höllwarth,?,3
5797,Höllwarthem,?,1
5798,rekord,rzecz,73
5799,wyrównany,przym,5
5800,Hautamäkiego,?,2
5801,Gregora,?,6
5802,Schlierenzauera,?,2
5803,pobić,czas,19
5804,ustanawiać,czas,8
5805,dwanaście,rzecz,412
5806,zachorować,czas,17
5807,grypa,rzecz,5
5808,Pragelato,?,5
5809,Benkovičem,?,1
5810,Jakub,rzecz,45
5811,Janda,rzecz,4
5812,zespołowy,przym,9
5813,Roara,?,1
5814,Ljøkelsøya,?,1
5815,ani,?,90
5816,przedostatni,przym,9
5817,trzydziesty,rzecz,18
5818,215,rzecz,10
5819,konkursowy,przym,3
5820,życiowy,przym,47
5821,233,rzecz,4
5822,kiedykolwiek,przys,5
5823,startować,czas,96
5824,1715,rzecz,4
5825,czemu,przys,66
5826,następna,rzecz,138
5827,ex,?,24
5828,aequo,?,5
5829,Roberto,rzecz,55
5830,Kranjec,rzecz,2
5831,sprawić,czas,28
5832,odrobić,czas,4
5833,1081,rzecz,7
5834,wyrównać,czas,3
5835,Jens,rzecz,7
5836,Weißfloga,?,2
5837,715,rzecz,4
5838,72,rzecz,68
5839,proba,rzecz,34
5840,dwieście,rzecz,76
5841,Tami,?,2
5842,kiur,rzecz,3
5843,Happonen,?,2
5844,Hautamäki,?,2
5845,czołówka,rzecz,51
5846,zbliżać,czas,30
5847,półmetek,rzecz,1
5848,123,rzecz,10
5849,209,rzecz,10
5850,212,rzecz,9
5851,jedenasta,rzecz,9
5852,06,rzecz,31
5853,204,rzecz,11
5854,217,rzecz,13
5855,127,rzecz,28
5856,Klingenthal,?,7
5857,07,rzecz,35
5858,jednoseryjny,przym,2
5859,Ammannem,?,4
5860,Harrim,?,1
5861,Ollim,?,1
5862,Morgensternem,?,4
5863,Miyanomori,?,1
5864,Koflerem,?,3
5865,539,rzecz,1
5866,ostatnio,przys,8
5867,zdarzyć,czas,13
5868,debiutancki,przym,6
5869,naród,rzecz,89
5870,Gregorem,?,8
5871,Schlierenzauerem,?,8
5872,setny,przym,1
5873,wyjątkowo,przys,35
5874,mamut,rzecz,1
5875,trzynasty,rzecz,4
5876,Ještěd,?,2
5877,wskoczyć,czas,2
5878,równo,przys,3
5879,208,rzecz,6
5880,MŚwL,?,1
5881,Kochem,?,2
5882,Lysgårdsbakken,?,1
5883,Holmenkollbakken,?,2
5884,sto,rzecz,433
5885,1291,rzecz,1
5886,503,rzecz,4
5887,270,rzecz,16
5888,ogłosić,czas,77
5889,motywacja,rzecz,8
5890,chęć,rzecz,22
5891,odejście,rzecz,16
5892,chwała,rzecz,7
5893,pożegnalny,przym,6
5894,zaproszona,rzecz,2
5895,Andreas,?,20
5896,Goldberger,?,3
5897,Ville,?,13
5898,Kantee,?,1
5899,Kasai,?,4
5900,Küttel,?,4
5901,Larinto,?,1
5902,Veli,?,4
5903,Lindström,?,1
5904,Morgenstern,?,6
5905,Bjørn,?,1
5906,Einar,?,3
5907,Romøren,?,1
5908,Georg,?,19
5909,Späth,?,3
5910,Widhölzl,?,1
5911,Kimmo,?,1
5912,Yliriesto,?,1
5913,sędzia,rzecz,58
5914,mika,rzecz,9
5915,Kojonkoski,?,1
5916,Hannu,?,1
5917,Lepistö,?,1
5918,Tommi,?,1
5919,Nikunen,?,1
5920,Käri,?,1
5921,Pātāri,?,1
5922,Kari,?,7
5923,Ylianttila,?,2
5924,szpaler,rzecz,1
5925,przejechać,czas,13
5926,zimowy,przym,79
5927,Vancouver,rzecz,10
5928,półtoraroczny,przym,2
5929,zamknąć,czas,16
5930,zdyskwalifikować,czas,5
5931,nieprawidłowy,przym,21
5932,kombinezon,rzecz,4
5933,Kofler,?,2
5934,HS,?,20
5935,102,rzecz,60
5936,104m,?,1
5937,rozegrany,przym,17
5938,finałowy,przym,31
5939,uraz,rzecz,24
5940,próbny,przym,17
5941,51,rzecz,73
5942,113,rzecz,25
5943,182,rzecz,9
5944,189,rzecz,9
5945,197,rzecz,7
5946,701,rzecz,2
5947,kwalifikacja,rzecz,30
5948,dyskwalifikacja,rzecz,4
5949,zielone,rzecz,58
5950,zauważyć,czas,52
5951,uniemożliwić,czas,8
5952,111,rzecz,30
5953,zapewnić,czas,39
5954,punktować,czas,8
5955,uprawianie,rzecz,10
5956,dyscyplina,rzecz,23
5957,par,rzecz,111
5958,Manuel,rzecz,22
5959,Fettnerem,?,2
5960,lucky,?,2
5961,loser,?,2
5962,110,rzecz,40
5963,zestawić,czas,4
5964,para,rzecz,29
5965,Wankiem,?,1
5966,134,rzecz,11
5967,Anders,rzecz,23
5968,Bardal,?,1
5969,118,rzecz,14
5970,121,rzecz,11
5971,Midtstubakken,?,1
5972,96,rzecz,23
5973,trening,rzecz,32
5974,wyrzeczenie,rzecz,4
5975,przychodzić,czas,14
5976,coraz,przys,93
5977,trud,rzecz,19
5978,telewizja,rzecz,54
5979,MTV3,?,1
5980,uzasadniać,czas,12
5981,Soczi,rzecz,7
5982,wznowienie,rzecz,11
5983,potwierdzenie,rzecz,26
5984,kadr,rzecz,80
5985,Veikkaus,?,1
5986,cupać,czas,30
5987,Rovaniemi,?,3
5988,87,rzecz,42
5989,lądować,czas,32
5990,136,rzecz,11
5991,zeskok,rzecz,2
5992,Laurim,?,1
5993,Asikainenem,?,1
5994,Vuokatti,?,3
5995,Lauriego,?,1
5996,Asikainena,?,1
5997,ostateczny,przym,60
5998,otwierać,czas,39
5999,samo,przys,57
6000,Severin,?,1
6001,Freund,?,1
6002,prekwalifikowany,przym,1
6003,półtora,rzecz,140
6004,poszczególny,przym,123
6005,Hakuba,?,4
6006,Turyn,rzecz,20
6007,Whistler,?,4
6008,Krasnaja,?,3
6009,polana,rzecz,10
6010,Val,?,16
6011,DI,rzecz,51
6012,Fiemme,?,15
6013,Oberstdorf,?,9
6014,Planica,?,5
6015,Harrachov,?,6
6016,konto,rzecz,54
6017,Gregor,?,9
6018,Schlierenzauer,?,2
6019,chronologicznie,przys,13
6020,dwunastokrotnie,przys,3
6021,szesnaście,rzecz,211
6022,ind,rzecz,20
6023,druż,?,3
6024,przypis,rzecz,63
6025,opel,rzecz,11
6026,aster,rzecz,10
6027,General,?,32
6028,Motors,?,13
6029,chevrolet,rzecz,24
6030,Cruze,?,1
6031,plebiscyt,rzecz,10
6032,VW,rzecz,10
6033,vw,rzecz,10
6034,Polo,rzecz,13
6035,toyota,rzecz,20
6036,IQ,rzecz,3
6037,drzwiowy,przym,26
6038,hatchback,rzecz,10
6039,kombi,rzecz,23
6040,Sports,?,8
6041,Tourer,?,1
6042,gama,rzecz,21
6043,uzupełnić,czas,16
6044,coupé,rzecz,11
6045,usportowić,czas,1
6046,OPC,?,5
6047,przydomek,rzecz,22
6048,GTC,?,3
6049,sedan,rzecz,43
6050,Gliwice,rzecz,23
6051,Cabrio,?,2
6052,CC,rzecz,6
6053,dotychczas,przys,42
6054,obecny,rzecz,38
6055,wcielenie,rzecz,16
6056,oddzielnie,przys,7
6057,klasyfikować,czas,29
6058,odrębny,przym,41
6059,stylizacja,rzecz,1
6060,Cascada,?,1
6061,Frankfurt,rzecz,17
6062,auto,rzecz,40
6063,Facelifting,?,1
6064,wizualny,przym,13
6065,zaszły,przym,8
6066,tył,rzecz,72
6067,zderzak,rzecz,6
6068,zaktualizować,czas,8
6069,wzrór,?,1
6070,grill,rzecz,1
6071,BiTurbo,?,1
6072,CDTI,?,7
6073,Insigni,?,1
6074,195,rzecz,5
6075,KM,rzecz,175
6076,Nm,?,13
6077,przewidywać,czas,53
6078,benzynowy,przym,25
6079,turbodoładowanie,rzecz,2
6080,wtrysk,rzecz,22
6081,SIDI,?,5
6082,spark,?,1
6083,ignition,?,1
6084,direct,?,1
6085,injection,?,2
6086,zapłon,rzecz,5
6087,iskrowy,przym,2
6088,Szentgotthárd,?,2
6089,Węgry,rzecz,31
6090,modelowy,przym,4
6091,przeszło,?,19
6092,drobne,rzecz,48
6093,diesel,rzecz,24
6094,siedmiocalowy,przym,1
6095,dotykowy,przym,14
6096,teleinformacyjny,przym,1
6097,nawigacja,rzecz,31
6098,audio,przym,13
6099,światła,rzecz,143
6100,dzienny,przym,36
6101,Leda,rzecz,12
6102,leda,rzecz,12
6103,półskórzany,przym,1
6104,fotel,rzecz,28
6105,astra,rzecz,3
6106,Extreme,?,4
6107,wyczynowy,przym,7
6108,wyścigowy,przym,32
6109,posiadający,przym,70
6110,homologacja,rzecz,12
6111,drogowy,przym,10
6112,manualny,przym,24
6113,skrzynia,rzecz,80
6114,sześciostopniowy,przym,1
6115,dyferencjał,rzecz,1
6116,ograniczony,przym,62
6117,poślizg,rzecz,5
6118,kubełkowy,przym,1
6119,recaro,rzecz,1
6120,sześciopunktowy,rzecz,1
6121,pas,rzecz,38
6122,klastka,?,1
6123,włókno,rzecz,17
6124,węglowy,przym,15
6125,aluminium,rzecz,31
6126,280,rzecz,18
6127,czterocylindrowy,przym,3
6128,aluminiowy,przym,16
6129,głowica,rzecz,86
6130,podwójny,przym,107
6131,wałek,rzecz,17
6132,rozrząd,rzecz,12
6133,zawora,rzecz,41
6134,cylinder,rzecz,68
6135,poprzecznie,przys,3
6136,blok,rzecz,67
6137,żeliwo,rzecz,26
6138,miska,rzecz,7
6139,olejowy,przym,5
6140,synchronizacja,rzecz,10
6141,zawór,rzecz,14
6142,wlot,rzecz,20
6143,wylot,rzecz,8
6144,hydrauliczny,przym,17
6145,regulator,rzecz,7
6146,łopatkowe,rzecz,1
6147,maks,rzecz,12
6148,turbo,rzecz,24
6149,moduł,rzecz,62
6150,dostosować,czas,33
6151,zamknięcie,rzecz,21
6152,zależnie,przys,15
6153,obciążenie,rzecz,29
6154,mapować,czas,4
6155,termostat,rzecz,5
6156,podnosić,czas,22
6157,płyn,rzecz,69
6158,chłodzący,przym,6
6159,osiągać,czas,128
6160,optymalny,przym,13
6161,tarcie,rzecz,11
6162,spalanie,rzecz,11
6163,Twinport,?,3
6164,dwustopniowy,przym,8
6165,ssący,przym,9
6166,obrotowy,przym,84
6167,4000,rzecz,26
6168,obr,?,56
6169,paliwowo,?,2
6170,docierać,czas,26
6171,dolotowy,przym,6
6172,620,rzecz,8
6173,powyżej,przys,97
6174,zasysać,czas,7
6175,288,rzecz,6
6176,A14XER,?,1
6177,drążyć,czas,3
6178,łańcuch,rzecz,22
6179,luz,rzecz,7
6180,automatycznie,przys,20
6181,kasować,czas,5
6182,popychacz,rzecz,5
6183,tłumik,rzecz,4
6184,skrętny,przym,9
6185,poprawiać,czas,24
6186,równomierność,rzecz,1
6187,dezaktywacja,rzecz,1
6188,częściowy,przym,14
6189,A16XER,?,1
6190,tuleja,rzecz,4
6191,wytrawiony,przym,2
6192,gładkość,rzecz,3
6193,minimalizacja,rzecz,6
6194,zaworowy,przym,5
6195,szklankowych,?,1
6196,dobrany,przym,9
6197,grubość,rzecz,55
6198,denko,rzecz,4
6199,A14NET,?,1
6200,turbosprężarka,rzecz,20
6201,wylotowy,przym,20
6202,stopniowy,przym,22
6203,intercooler,?,2
6204,katalizator,rzecz,15
6205,sonda,rzecz,107
6206,lambda,rzecz,5
6207,wał,rzecz,17
6208,korbowy,przym,4
6209,tłok,rzecz,36
6210,korbowód,rzecz,2
6211,wzmocnić,czas,29
6212,wypełnić,czas,49
6213,sód,rzecz,30
6214,pompa,rzecz,21
6215,olej,rzecz,20
6216,ciecz,rzecz,24
6217,ciecza,rzecz,18
6218,pasek,rzecz,16
6219,wielorowkowy,przym,1
6220,przepustnica,rzecz,3
6221,elektrycznie,przys,5
6222,zapłonowy,przym,5
6223,świeca,rzecz,9
6224,zamachowy,rzecz,4
6225,A16LET,?,1
6226,elektryczny,przym,96
6227,oczyszczać,czas,18
6228,spaliny,rzecz,13
6229,ogrzewać,czas,6
6230,chłodzić,czas,19
6231,dysza,rzecz,12
6232,natryskiwać,czas,3
6233,szklankowe,?,1
6234,dwumasowy,przym,1
6235,sprzęgło,rzecz,11
6236,hydraulicznie,przys,4
6237,A16XHT,?,1
6238,Spark,?,2
6239,Ignition,?,2
6240,Injection,?,1
6241,ECOTEC,?,2
6242,GT,?,12
6243,vectra,rzecz,1
6244,Ecotec,?,2
6245,*,?,45
6246,performance,rzecz,10
6247,wytrzymać,czas,9
6248,sprężać,czas,26
6249,130,rzecz,37
6250,bar,rzecz,41
6251,pokrywa,rzecz,30
6252,przytwierdzić,czas,4
6253,mocować,czas,21
6254,materiał,rzecz,220
6255,uszczelniać,czas,1
6256,zachowywać,czas,32
6257,elastyczny,przym,11
6258,turbina,rzecz,22
6259,wyrównoważać,czas,2
6260,tunel,rzecz,18
6261,zębaty,przym,3
6262,podcięcie,rzecz,1
6263,żeliwny,przym,3
6264,gniazdo,rzecz,20
6265,pierścień,rzecz,80
6266,powłoka,rzecz,9
6267,PVD,?,1
6268,kolektor,rzecz,3
6269,odróżnienie,rzecz,46
6270,A20NFT,?,2
6271,spiralna,rzecz,3
6272,wirnik,rzecz,3
6273,twin,?,2
6274,scroll,?,2
6275,wariant,rzecz,71
6276,nisko,przys,28
6277,wysokociśnieniowy,przym,1
6278,rezonator,rzecz,2
6279,wtryskiwacz,rzecz,2
6280,centralnie,przys,9
6281,oszczędny,przym,3
6282,motor,rzecz,29
6283,Insignia,?,1
6284,równomiernie,przys,8
6285,przeciwbieżny,przym,4
6286,płaszcz,rzecz,10
6287,wodny,przym,118
6288,dna,rzecz,70
6289,spód,rzecz,6
6290,155,rzecz,8
6291,jałowy,przym,7
6292,wtryskiwać,czas,3
6293,zawirować,czas,4
6294,przekrój,rzecz,15
6295,poprzeczny,przym,13
6296,przepływać,czas,10
6297,czujnik,rzecz,33
6298,wilgotność,rzecz,10
6299,mierzyć,czas,45
6300,ECU,rzecz,3
6301,ecu,rzecz,3
6302,sterownik,rzecz,4
6303,tłumiący,przym,6
6304,syczeć,czas,1
6305,spiralny,przym,1
6306,generować,czas,20
6307,doładowanie,rzecz,6
6308,zanim,?,47
6309,dotrzeć,czas,96
6310,intercoolerze,?,1
6311,Gama,rzecz,1
6312,165,rzecz,9
6313,common,?,2
6314,rail,?,4
6315,wielopunktowy,rzecz,3
6316,1600,rzecz,13
6317,1800,rzecz,12
6318,czystość,rzecz,17
6319,oczyszczający,przym,2
6320,mocno,przys,30
6321,obciążyć,czas,9
6322,równy,przym,58
6323,geometria,rzecz,17
6324,łopata,rzecz,3
6325,bieżąco,przys,5
6326,dostosowywać,czas,7
6327,oszczędzać,czas,3
6328,wyłączenie,rzecz,15
6329,wrzucić,czas,5
6330,neutralny,przym,12
6331,rozgrzać,czas,3
6332,akumulator,rzecz,22
6333,napięcie,rzecz,29
6334,sprawny,przym,16
6335,ponowny,przym,31
6336,136KM,?,1
6337,norme,?,1
6338,zużywać,czas,20
6339,9l,?,1
6340,100km,?,1
6341,wyposażeniowy,przym,6
6342,Essentia,?,1
6343,Enjoy,?,1
6344,Cosmo,?,6
